Ürün markası,Ürün modeli,Ürün açıklaması,Fiyat,Puan,Yorum Sayısı,Tarih
MSI,Thın 15 B12uc-1478xtr,I5-12450h 16gb Rtx3050 Gddr6 4gb 512gb Ssd 15.6 Fhd 144hz Dos,25.999 TL,4.3,(20),2024-12
CASPER,Excalibur,G770.1245-BVJ0X-B i5-12450H 16GB RAM 500GB NVMe SSD GEN4 4GB RTX3050 DOS GAMING LAPTOP,26.499 TL,4.4,(629),2024-12
ASUS,Tuf A15 Fa507nur-lp035,"Amd Ryzen7 7435hs 16gb 512gb Ssd Rtx4050-140watt 144hz Dos 15.6"" Fhd Taş",38.499 TL,4.6,(16),2024-12
HP,Victus Gaming 15-fa1082nt,"Intel Core İ5-12500H 16gb 512gb Ssd Rtx4060 Freedos 15.6""laptop B03c7ea",33.499 TL,N/A,0,2024-12
CASPER,Excalibur,G870.1245-DFB0X-B i5-12450H 32GB RAM 1TB NVMe SSD GEN4 8GB RTX4060 DOS GAMING LAPTOP,37.499 TL,4.5,(264),2024-12
MONSTER,Tulpar T7 V20.8.2,"Intel Core i7 12700H 32 GB RAM 1 TB SSD 8 GB RTX 4060 FreeDOS 17,3"" FHD 144 Hz",48.999 TL,4.6,(105),2024-12
HP,Victus 15-fb2028nt Amd R5,"7535hs 16gb 512gb Ssd Rx6550m-4gb Freedos 15.6"" Fhd 144hz Taşınabilir B",24.999 TL,4.3,(8),2024-12
ACER,Nitro5 Intel Core,"i5-12500H 16GB 512GB SSD 6GB RTX4050 DOS 15.6"" Gaming Laptop NH.QLZEY.006",31.999 TL,4.6,(292),2024-12
CASPER,Excalibur,G870.1270-DFA0X-B i7-12700H 32GB RAM 1TB NVMe SSD Gen4 6GB RTX4050 DOS GAMING LAPTOP,37.499 TL,4.4,(260),2024-12
CASPER,Excalibur,G870.1270-DXB0X-B Intel Core i7-12700H 32GB RAM 2TB NVMe SSD 8GB RTX4060 DOS GAMING LAPTOP,42.799 TL,4.4,(239),2024-12
HP,Victus 16-r0035nt Intel,"I5-13500h Ddr5 16gb 1tb Ssd Gen4 8gb Rtx 4060 16.1""freedos Laptop 7p6l3ea",39.999 TL,4.5,(31),2024-12
ACER,Nitro 5 Intel Core,i7-12650H 8GB 1TB SSD 8GB RTX4060 Linux 15.6'' 165Hz Siyah Gaming PC NH.QM0EY.00B,38.220 TL,4.8,(16),2024-12
MONSTER,Abra A5 V21.3 Intel,"Core i7 12700H 16 GB RAM 500 GB SSD 4 GB RTX 2050 FreeDOS 15,6"" FHD 144 Hz",28.999 TL,4.8,(70),2024-12
LENOVO,IdeaPad Gaming3 AMD,"Ryzen 5-5500H 16GB 512GB SSD RTX2050 DOS 15.6"" IPS FHD Gaming Laptop 82K2029YTX",22.499 TL,4.7,(17),2024-12
ASUS,Rog Ally Ryzen Z1-16Gb,Ram-512Gb Ssd-7inc-W11,19.299 TL,4.1,(9),2024-12
LENOVO,Ideapad Gaming 3 AMD,"Ryzen 5 5500H 8GB 512GB SSD RTX2050 Freedos 15.6"" FHD 82K202BRTX",20.795 TL,5.0,(1),2024-12
MSI,Thin 15 12.Nesil Core i5,12450H-RTX4050 6Gb-16Gb-512Gb Ssd-15.6inc-W11 THIN 15 B12VE-1627TR,33.578 TL,5.0,(7),2024-12
Dell,G15-5530 Intel Core,"i7-13650HX 16GB 512GB SSD RTX3050 6GB 15.6"" FHD 120Hz Ubuntu Gaming Laptop",32.979 TL,4.5,(39),2024-12
MSI,Katana 17 B13vek-1035xtr,I7-13620h 16gb 512gb Ssd Rtx4050 17.3 Inç 144hz Freedos Gaming Laptop,44.399 TL,4.5,(17),2024-12
LENOVO,LOQ Ryzen 7-7435HS,32GB DDR5 1TB SSD RTX4060 8GDDR6 15.6 IPS 144Hz  83JC000UTR-321,43.059 TL,5.0,(1),2024-12
MSI,Katana 17 B13vek-1036xtr,Intel Core I7 13620h 16gb 1tb Ssd Rtx4050 Freedos 17.3 Fhd 144hz Taşına,47.399 TL,3.8,(4),2024-12
LENOVO,LOQ Intel Core,"i5-12450H 8GB 512GB SSD 15.6"" FHD RTX3050 6GB FreeDOS 144Hz Gaming Laptop 82XV00WYTX",27.979 TL,4.0,(23),2024-12
ASUS,TUF Gaming A15,Açıklama Yok,30.140 TL,N/A,0,2024-12
MONSTER,Abra A5 V20.4.4 Intel,"Core i5 12450H 16 GB RAM 1 TB SSD 6 GB RTX 4050 FreeDos 15,6"" FHD 144 Hz",35.399 TL,4.7,(129),2024-12
ASUS,TUF Gaming F15,"FX507ZC4-HN081W04 i5-12500H 16GB 1TBSSD RTX3050 15.6"" FullHD W11H Taşınabilir Bi",33.299 TL,4.4,(11),2024-12
MSI,Thın Gf63 12ucx-427xtr,"Core I5-12450h 8gb Ddr4 Rtx2050 4gd6 512gb Ssd 15.6"" Fhd 144hz Freedos",22.499 TL,4.2,(53),2024-12
MSI,Katana 17 B13vfk-1037xtr,Intel Core I7 13620h 16gb 1tb Ssd Rtx4060 Freedos 17.3 Fhd 144hz Taşına,54.199 TL,4.9,(25),2024-12
ASUS,Tuf Gamıng F15,"Fx506hc-hn375 Intel I5-11400h 8gb Ddr4 512gb Ssd 4gb Rtx3050 15.6"" Fhd 144hz Dos",31.574 TL,4.5,(124),2024-12
ASUS,ROG STRİX G15,"G513IC-HN037-K AMD RYZEN 7 4800H 15.6"" 16 GB RAM 512 GB SSD RTX 3050 FREEDOS",39.699 TL,4.5,(2),2024-12
HP,Victus 15 Fa0010nt I5,12450h 16gb Ram 512gb Ssd 3050 15.6 Inç Fhd 144hz Freedos Mavi 80d32ea,27.999 TL,4.5,(20),2024-12
MONSTER,Abra A5 V21.3.4 Intel,"Core i7 12700H 16 GB RAM 1 TB SSD 4 GB RTX 2050 FreeDOS 15,6"" FHD 144 Hz",30.299 TL,4.4,(28),2024-12
ASUS,Tuf Gaming F15,Fx507zc4-hn158 Intel Core I5 12500h 8 Gb 512 Gb Ssd Rtx 3050 144 Hz Freedos 15.6,27.999 TL,3.7,(7),2024-12
ASUS,TUF GAMING A15,"FA506NF-HN051 AMD RYZEN 5-7535HS 8GB 512GB SSD 4GB RTX2050 15.6"" FHD 144Hz FDOS","25.064,41 TL",4.4,(24),2024-12
HP,Victus 16-R0071NT 8V898EA,i7-13700H 32GB RAM 1TB SSD 8GB GeForce RTX 4070 16.1 inç FHD FreeDOS,55.999 TL,5.0,(4),2024-12
ASUS,Rog Strıx G16,"G614ju-n3195 Intel I7-13650hx 16gb Ddr5 512gb Ssd 6gb Rtx4050 16"" Wuxga 165hz Dos","58.858,43 TL",4.6,(36),2024-12
